Merchant_ID,Merchant_Name,Merchant_Category,State,City,Merchant_Risk_Level,Merchant_Rating,Merchant_Status,Merchant_Since
MER100068,Amazon,Ecommerce,Assam,Nagaon,Low,3.7,Active,2018-04-18
MER100069,Samsung SmartCafe,Electronics,Rajasthan,Bharatpur,Low,3.9,Active,2025-10-23
MER100070,Fortis Healthcare,Hospital,Madhya Pradesh,Gwalior,Low,4.0,Active,2006-08-16
MER100071,Taj Hotels,Hotel,Kerala,Thiruvananthapuram,Medium,4.5,Active,2025-07-19
MER100072,Taj Hotels,Hotel,Rajasthan,Bikaner,Medium,3.9,Active,2012-04-03
MER100073,Jiomart,Ecommerce,Madhya Pradesh,Gwalior,Low,4.4,Active,2023-09-09
MER100074,Bharat Petroleum,Fuel,Assam,Guwahati,Low,4.1,Active,2026-02-25
MER100075,Shell Station,Fuel,Punjab,Ludhiana,Low,4.2,Active,2009-07-14
MER100076,Vijay Sales,Electronics,Karnataka,Bengaluru,Low,4.2,Active,2016-05-05
MER100077,Max Healthcare,Hospital,West Bengal,Durgapur,Low,4.9,Active,2020-09-22
MER100078,Shell Station,Fuel,Madhya Pradesh,Ujjain,Low,4.4,Active,2019-06-27
MER100079,Trends,Fashion,Gujarat,Jamnagar,Low,4.8,Active,2012-03-22
MER100080,Jiomart,Ecommerce,Bihar,Bhagalpur,Medium,4.4,Active,2014-04-06
MER100081,Akasa Air,Airline,Rajasthan,Bikaner,Low,4.0,Active,2012-01-08
MER100082,Nykaa,Fashion,Uttar Pradesh,Kanpur,Low,4.3,Active,2017-04-27
MER100083,Manipal Hospitals,Hospital,Tamil Nadu,Tiruchirappalli,Medium,4.3,Active,2023-07-05
MER100084,HP Lubricants,Fuel,Kerala,Thiruvananthapuram,Low,4.7,Active,2023-08-23
MER100085,Nykaa,Fashion,Punjab,Amritsar,Medium,4.9,Active,2024-11-25
MER100086,Taj Hotels,Hotel,Madhya Pradesh,Indore,Medium,4.3,Active,2007-09-30
MER100087,Apple Store,Electronics,Maharashtra,Mumbai,Medium,3.9,Active,2017-11-05
MER100088,Indian Oil,Fuel,Gujarat,Bhavnagar,Low,4.0,Inactive,2008-11-08
MER100089,Flipkart,Ecommerce,Madhya Pradesh,Ujjain,High,4.8,Active,2020-05-06
MER100090,SpiceJet,Airline,West Bengal,Howrah,Low,5.0,Active,2010-12-05
MER100091,Netmeds,Pharmacy,Assam,Jorhat,Low,4.1,Active,2013-02-24
MER100092,Air India,Airline,Bihar,Muzaffarpur,High,3.9,Active,2011-06-04
MER100093,Jio-bp,Fuel,Rajasthan,Jodhpur,Low,3.5,Active,2011-01-14
MER100094,Croma,Electronics,Madhya Pradesh,Jabalpur,Medium,4.0,Active,2019-11-03
MER100095,Shell Station,Fuel,Uttar Pradesh,Kanpur,Low,3.7,Active,2013-06-04
MER100096,EatClub,Food Delivery,Karnataka,Mysuru,High,3.7,Active,2007-07-04
MER100097,Coursera,Education,Odisha,Bhubaneswar,Low,4.4,Active,2010-09-21
MER100098,Swiggy,Food Delivery,Gujarat,Rajkot,Low,4.3,Active,2006-11-24
MER100099,Cashfree,Financial Services,Rajasthan,Kota,Low,4.4,Active,2009-11-06
MER100100,Pizza Hut,Food Delivery,Uttar Pradesh,Aligarh,Low,4.0,Active,2023-05-28
MER100101,Snapdeal,Ecommerce,Gujarat,Bhavnagar,Medium,4.6,Active,2010-04-16
MER100102,MakeMyTrip Hotels,Hotel,Assam,Silchar,High,4.0,Active,2013-10-23
MER100103,Razorpay,Financial Services,Telangana,Nizamabad,Low,4.8,Active,2022-11-16
MER100104,Ajio,Fashion,West Bengal,Kolkata,Medium,4.7,Active,2015-08-07
MER100105,Cashfree,Financial Services,Rajasthan,Bharatpur,High,5.0,Active,2008-08-11
MER100106,Uber India,Travel,Gujarat,Jamnagar,Low,4.2,Active,2008-04-22
MER100107,PayU,Financial Services,Uttar Pradesh,Lucknow,Low,4.9,Active,2019-04-20
MER100108,Wellness Forever,Pharmacy,Punjab,Jalandhar,High,5.0,Active,2026-01-22
MER100109,EaseMyTrip,Travel,Assam,Dibrugarh,Low,4.1,Active,2011-09-21
MER100110,Apollo Hospitals,Hospital,Odisha,Sambalpur,Low,4.2,Active,2017-07-25
MER100111,Swiggy,Food Delivery,Punjab,Jalandhar,High,4.1,Active,2012-08-23
MER100112,Akasa Air,Airline,Karnataka,Belagavi,Medium,4.5,Active,2013-03-12
MER100113,Redbus,Travel,Karnataka,Belagavi,Low,4.7,Active,2012-09-26
MER100114,Flipkart,Ecommerce,Karnataka,Mysuru,Low,4.9,Active,2008-03-28
MER100115,Spotify,Entertainment,West Bengal,Kolkata,High,3.9,Active,2025-07-05
MER100116,Goibibo,Travel,Tamil Nadu,Madurai,Low,4.9,Active,2016-09-11
MER100117,Tata Cliq,Ecommerce,Telangana,Warangal,Low,4.5,Active,2010-04-23
MER100118,Spotify,Entertainment,Odisha,Bhubaneswar,Low,4.8,Active,2020-10-05
MER100119,Netmeds,Pharmacy,Punjab,Bathinda,Low,3.8,Active,2009-06-10
MER100120,Apollo Hospitals,Hospital,Maharashtra,Nagpur,Low,3.6,Inactive,2015-08-14
MER100121,Myntra,Fashion,Gujarat,Bhavnagar,Low,4.6,Active,2006-08-03
MER100122,Swiggy,Food Delivery,Haryana,Gurugram,Low,4.6,Active,2007-12-16
MER100123,Tata Cliq,Ecommerce,Gujarat,Jamnagar,Low,4.4,Active,2012-01-29
MER100124,Manipal Hospitals,Hospital,Bihar,Patna,Low,3.9,Active,2016-11-17
MER100125,Tata Cliq,Ecommerce,Assam,Guwahati,Medium,4.0,Active,2009-05-18
MER100126,BYJU'S,Education,Uttar Pradesh,Kanpur,Low,4.8,Active,2007-09-07
MER100127,Ajio,Fashion,Telangana,Karimnagar,Low,4.1,Active,2013-02-14
MER100128,Netmeds,Pharmacy,Odisha,Cuttack,Low,4.3,Active,2012-12-04
MER100129,BYJU'S,Education,Odisha,Rourkela,Low,4.6,Active,2017-04-19
MER100130,Marriott India,Hotel,Maharashtra,Aurangabad,Low,4.4,Active,2021-04-27
MER100131,Croma,Electronics,Haryana,Sohna,Medium,5.0,Active,2021-01-06
MER100132,IndiGo,Airline,Odisha,Rourkela,Low,4.2,Active,2024-12-05
MER100133,Vi Bill,Utilities,Gujarat,Ahmedabad,Medium,4.3,Active,2022-11-16
MER100134,EatClub,Food Delivery,Assam,Nagaon,Low,4.7,Active,2016-02-09
MER100135,PhonePe,Financial Services,Karnataka,Mangaluru,Medium,4.3,Active,2022-02-06
MER100136,Cashfree,Financial Services,West Bengal,Kolkata,Medium,4.4,Active,2026-01-31
MER100137,Amazon Prime Video,Entertainment,Bihar,Gaya,Low,4.7,Active,2019-05-11
MER100138,IndiGo,Airline,Assam,Jorhat,High,3.9,Active,2017-07-03
MER100139,Domino's India,Food Delivery,West Bengal,Kolkata,Medium,4.3,Active,2025-05-13
MER100140,Udemy,Education,Madhya Pradesh,Gwalior,High,4.2,Active,2011-06-13
MER100141,Air India,Airline,Odisha,Cuttack,High,4.8,Active,2012-04-09
MER100142,Trends,Fashion,Punjab,Jalandhar,Low,4.6,Active,2020-09-07
MER100143,Pizza Hut,Food Delivery,West Bengal,Kolkata,Low,4.0,Active,2019-06-11
MER100144,Max Healthcare,Hospital,West Bengal,Durgapur,Low,4.2,Active,2020-04-10
MER100145,Zepto,Grocery,Haryana,Gurugram,Medium,3.8,Active,2014-03-30
MER100146,H&M India,Fashion,Telangana,Warangal,High,4.1,Active,2026-01-26
MER100147,Jio-bp,Fuel,Haryana,HOdal,Low,4.1,Active,2023-07-12
MER100148,Samsung SmartCafe,Electronics,West Bengal,Asansol,Low,4.8,Active,2015-04-08
MER100149,Shell Station,Fuel,Rajasthan,Alwar,Low,4.8,Active,2020-08-08
MER100150,Unacademy,Education,Haryana,Sohna,Medium,5.0,Active,2006-12-31
MER100151,HP Lubricants,Fuel,Assam,Dibrugarh,Low,3.9,Active,2010-08-12
MER100152,Taj Hotels,Hotel,Uttar Pradesh,Meerut,High,5.0,Active,2022-11-21
MER100153,Swiggy,Food Delivery,Tamil Nadu,Madurai,Low,3.7,Active,2016-05-21
MER100154,Zara India,Fashion,Odisha,Cuttack,Medium,4.6,Active,2011-12-21
MER100155,Swiggy,Food Delivery,Odisha,Puri,Low,4.5,Active,2025-10-12
MER100156,BookMyShow,Entertainment,Tamil Nadu,Tiruchirappalli,High,5.0,Active,2019-12-08
MER100157,Google Pay,Financial Services,Assam,Dibrugarh,Medium,4.2,Active,2008-09-24
MER100158,Uber India,Travel,Rajasthan,Udaipur,Low,4.8,Active,2010-01-21
MER100159,MakeMyTrip Hotels,Hotel,Madhya Pradesh,Jabalpur,Low,4.0,Active,2021-10-12
MER100160,Airtel Postpaid,Utilities,Kerala,Kollam,Low,4.0,Active,2018-12-16
MER100161,Apollo Pharmacy,Pharmacy,Odisha,Sambalpur,Low,3.7,Active,2022-08-20
MER100162,Zepto,Grocery,Punjab,Jalandhar,High,4.3,Active,2025-02-27
MER100163,Netmeds,Pharmacy,Gujarat,Vadodara,High,4.4,Active,2010-04-05
MER100164,Swiggy,Food Delivery,West Bengal,Howrah,Medium,3.8,Active,2019-04-11
MER100165,Netmeds,Pharmacy,Madhya Pradesh,Bhopal,Low,3.8,Active,2011-05-07
MER100166,Air India,Airline,Karnataka,Belagavi,Low,3.5,Inactive,2011-12-17
MER100167,Reliance Digital,Electronics,Uttar Pradesh,Kanpur,Low,4.5,Active,2018-06-23
MER100168,Jiomart,Ecommerce,Kerala,Kozhikode,Low,4.2,Active,2010-07-10
MER100169,IndiGo,Airline,Madhya Pradesh,Jabalpur,Low,3.9,Active,2009-12-21
MER100170,PVR Inox,Entertainment,Odisha,Puri,Low,4.9,Active,2020-07-31
MER100171,IndiGo,Airline,Assam,Dibrugarh,Medium,4.7,Active,2024-03-05
MER100172,Reliance Smart,Grocery,Tamil Nadu,Salem,Low,4.1,Active,2021-02-19
MER100173,Taj Hotels,Hotel,Kerala,Kochi,Low,3.8,Active,2007-12-28
MER100174,Shell Station,Fuel,Gujarat,Vadodara,Low,4.1,Active,2024-01-15
MER100175,PayU,Financial Services,Bihar,Patna,High,4.1,Active,2008-02-20
MER100176,Jio-bp,Fuel,Tamil Nadu,Coimbatore,Low,4.3,Active,2020-12-15
MER100177,HP Lubricants,Fuel,Maharashtra,Nashik,Low,4.7,Active,2009-10-09
MER100178,Zara India,Fashion,Tamil Nadu,Salem,Low,4.8,Active,2018-12-08
MER100179,SpiceJet,Airline,Rajasthan,Jodhpur,High,5.0,Active,2019-05-13
MER100180,Trends,Fashion,Karnataka,Belagavi,Medium,3.6,Active,2017-08-26
MER100181,IndiGo,Airline,Tamil Nadu,Salem,Low,4.4,Active,2016-11-29
MER100182,EaseMyTrip,Travel,Rajasthan,Bharatpur,Medium,3.9,Active,2020-05-22
MER100183,Goibibo,Travel,Bihar,Patna,Low,4.9,Active,2015-03-08
MER100184,Apollo Hospitals,Hospital,Telangana,Warangal,Low,4.5,Active,2024-07-13
MER100185,Coursera,Education,Gujarat,Jamnagar,Low,4.8,Active,2009-04-14
MER100186,Torrent Power,Utilities,Rajasthan,Alwar,Low,4.6,Inactive,2008-03-02
MER100187,Netmeds,Pharmacy,Haryana,HOdal,Medium,4.7,Active,2016-04-09
MER100188,Fortis Healthcare,Hospital,Assam,Dibrugarh,Low,4.6,Active,2018-04-17
MER100189,Apollo Hospitals,Hospital,Tamil Nadu,Chennai,Low,4.6,Active,2012-11-03
MER100190,Physics Wallah,Education,Haryana,Nuh,Low,3.9,Active,2012-01-17
MER100191,Netflix India,Entertainment,Tamil Nadu,Chennai,High,4.6,Active,2017-10-08
MER100192,Indian Oil,Fuel,Karnataka,Belagavi,Low,4.0,Active,2011-07-26
MER100193,Vi Bill,Utilities,Uttar Pradesh,Aligarh,Low,4.5,Active,2020-10-12
MER100194,Shell Station,Fuel,Karnataka,Mangaluru,Medium,4.1,Active,2026-03-19
MER100195,Cashfree,Financial Services,Telangana,Warangal,Medium,4.4,Active,2018-07-28
MER100196,Paytm,Financial Services,West Bengal,Asansol,Low,3.6,Active,2022-04-04
MER100197,Zepto,Grocery,Bihar,Muzaffarpur,Low,3.5,Active,2012-07-03
MER100198,Physics Wallah,Education,Telangana,Khammam,Low,4.3,Active,2010-02-07
MER100199,Ola Cabs,Travel,Maharashtra,Nashik,Low,4.4,Active,2009-05-16
MER100200,Fortis Healthcare,Hospital,Punjab,Jalandhar,Low,3.9,Active,2007-04-30
MER100201,Wellness Forever,Pharmacy,Punjab,Patiala,Medium,3.7,Active,2007-06-12
MER100202,Amazon,Ecommerce,Haryana,HOdal,Medium,3.7,Active,2007-08-08
MER100203,Paytm Utilities,Utilities,Karnataka,Bengaluru,Low,4.7,Active,2010-05-27
MER100204,Paytm Utilities,Utilities,West Bengal,Durgapur,High,4.6,Active,2008-04-08
MER100205,Physics Wallah,Education,Kerala,Kozhikode,Low,4.4,Active,2025-06-05
MER100206,Zepto,Grocery,Uttar Pradesh,Varanasi,Low,4.1,Active,2022-02-13
MER100207,Google Pay,Financial Services,Assam,Guwahati,Medium,4.7,Active,2017-03-24
MER100208,Torrent Power,Utilities,Maharashtra,Mumbai,Medium,4.4,Active,2021-03-02
MER100209,MakeMyTrip Hotels,Hotel,Assam,Jorhat,Low,4.4,Active,2012-02-06
MER100210,Fortis Healthcare,Hospital,Gujarat,Vadodara,Low,4.1,Active,2015-08-01
MER100211,Jiomart,Ecommerce,Gujarat,Bhavnagar,Low,4.2,Active,2023-12-09
MER100212,Amazon Prime Video,Entertainment,Gujarat,Vadodara,Low,4.1,Active,2017-09-28
MER100213,Google Pay,Financial Services,Odisha,Bhubaneswar,Low,4.6,Active,2014-11-04
MER100214,Manipal Hospitals,Hospital,West Bengal,Siliguri,Low,3.6,Active,2025-09-18
MER100215,Zepto,Grocery,Odisha,Cuttack,Low,4.8,Active,2018-04-17
MER100216,Croma,Electronics,Assam,Guwahati,Low,3.6,Active,2023-10-05
MER100217,Max Healthcare,Hospital,Punjab,Amritsar,Low,4.5,Active,2008-12-06
MER100218,Nykaa,Fashion,Punjab,Jalandhar,High,4.4,Active,2008-05-22
MER100219,Reliance Digital,Electronics,Karnataka,Belagavi,Low,3.5,Active,2025-06-17
MER100220,Max Healthcare,Hospital,West Bengal,Kolkata,Low,3.9,Active,2023-01-14
MER100221,Swiggy,Food Delivery,Karnataka,Mangaluru,Low,4.3,Active,2009-07-08
MER100222,Razorpay,Financial Services,Telangana,Karimnagar,Medium,4.0,Active,2014-10-18
MER100223,PVR Inox,Entertainment,West Bengal,Howrah,Low,4.2,Active,2015-11-18
MER100224,Air India,Airline,Kerala,Kochi,Low,4.8,Active,2023-03-29
MER100225,Vi Bill,Utilities,Bihar,Bhagalpur,Medium,3.6,Active,2017-09-24
MER100226,BYJU'S,Education,Assam,Nagaon,High,3.6,Active,2022-10-05
MER100227,Uber India,Travel,Tamil Nadu,Chennai,Low,3.8,Active,2019-05-08
MER100228,Trends,Fashion,Assam,Jorhat,Medium,4.5,Active,2023-04-04
MER100229,Marriott India,Hotel,Haryana,Faridabad,Low,4.8,Active,2025-08-13
MER100230,Shell Station,Fuel,Punjab,Patiala,Low,5.0,Active,2012-05-20
MER100231,Amazon Prime Video,Entertainment,Kerala,Thiruvananthapuram,Medium,4.6,Active,2013-11-29
MER100232,Tata 1mg,Pharmacy,Rajasthan,Jodhpur,Low,4.6,Active,2024-11-23
MER100233,Tata 1mg,Pharmacy,Tamil Nadu,Chennai,Medium,4.7,Active,2019-09-15
MER100234,Uber India,Travel,Tamil Nadu,Salem,Low,3.8,Active,2007-01-09
MER100235,Akasa Air,Airline,Punjab,Amritsar,High,3.9,Active,2007-08-09
MER100236,BYJU'S,Education,Odisha,Bhubaneswar,Low,4.3,Active,2015-12-12
MER100237,OYO Rooms,Hotel,Bihar,Gaya,High,4.4,Active,2019-02-27
MER100238,Nykaa,Fashion,Karnataka,Mysuru,Low,4.8,Active,2021-09-12
MER100239,PVR Inox,Entertainment,Odisha,Sambalpur,Low,3.7,Inactive,2013-03-05
MER100240,Redbus,Travel,Maharashtra,KOlhapur,Low,4.3,Active,2010-10-16
MER100241,Indian Oil,Fuel,Assam,Jorhat,Medium,3.7,Active,2024-01-06
MER100242,Zepto,Grocery,Gujarat,Ahmedabad,Low,3.7,Active,2018-08-26
MER100243,Ajio,Fashion,Gujarat,Jamnagar,Low,4.5,Active,2024-10-02
MER100244,SpiceJet,Airline,Gujarat,Jamnagar,Low,4.8,Active,2019-08-04
MER100245,Cashfree,Financial Services,Uttar Pradesh,Kanpur,Medium,4.7,Active,2026-05-04
MER100246,Pizza Hut,Food Delivery,Maharashtra,Mumbai,Low,4.7,Active,2008-02-19
MER100247,Domino's India,Food Delivery,Tamil Nadu,Chennai,Medium,4.3,Active,2007-01-15
MER100248,Vi Bill,Utilities,Assam,Jorhat,Medium,4.3,Active,2009-02-16
MER100249,MakeMyTrip Hotels,Hotel,Kerala,Kollam,High,3.9,Active,2016-10-11
MER100250,IRCTC,Travel,Punjab,Ludhiana,Low,3.9,Active,2024-01-04
MER100251,EaseMyTrip,Travel,Rajasthan,Kota,Low,4.5,Active,2015-03-13
MER100252,Trends,Fashion,Assam,Jorhat,High,3.9,Active,2016-12-29
MER100253,Cashfree,Financial Services,Punjab,Ludhiana,Medium,3.8,Active,2008-05-13
MER100254,Fortis Healthcare,Hospital,Uttar Pradesh,Ghaziabad,High,4.4,Active,2014-12-17
MER100255,Jiomart,Ecommerce,Uttar Pradesh,Kanpur,Medium,4.2,Active,2019-02-08
MER100256,Cashfree,Financial Services,Tamil Nadu,Chennai,Medium,4.3,Active,2022-04-21
MER100257,Shell Station,Fuel,Assam,Silchar,Low,4.2,Active,2026-03-28
MER100258,Spotify,Entertainment,Gujarat,Bhavnagar,Medium,4.7,Active,2018-04-26
MER100259,Netflix India,Entertainment,Kerala,Thiruvananthapuram,Low,3.7,Active,2015-11-21
MER100260,Reliance Smart,Grocery,Gujarat,Bhavnagar,Low,5.0,Active,2023-10-26
MER100261,Coursera,Education,Haryana,Gurugram,Low,4.8,Active,2014-03-26
MER100262,Paytm,Financial Services,Uttar Pradesh,Lucknow,Medium,3.9,Inactive,2012-01-26
MER100263,BookMyShow,Entertainment,Punjab,Ludhiana,Medium,4.6,Active,2008-10-29
MER100264,Max Healthcare,Hospital,West Bengal,Howrah,Low,3.7,Active,2007-11-01
MER100265,Pizza Hut,Food Delivery,Odisha,Sambalpur,Low,4.5,Active,2025-02-23
MER100266,Akasa Air,Airline,Rajasthan,Bikaner,Low,3.7,Active,2011-07-17
MER100267,Taj Hotels,Hotel,Punjab,Ludhiana,Low,3.6,Active,2010-12-09
MER100268,Wellness Forever,Pharmacy,Tamil Nadu,Madurai,Low,4.2,Active,2023-10-15
MER100269,Zepto,Grocery,Haryana,Faridabad,Low,4.1,Active,2007-10-04
MER100270,Zomato,Food Delivery,Tamil Nadu,Madurai,Low,3.7,Active,2019-05-24
MER100271,IndiGo,Airline,Kerala,Thrissur,Low,4.6,Active,2009-05-10
MER100272,Airtel Postpaid,Utilities,Gujarat,Jamnagar,Medium,4.1,Active,2017-02-07
MER100273,Ajio,Fashion,Gujarat,Surat,Low,4.3,Active,2007-10-24
MER100274,Croma,Electronics,Uttar Pradesh,Lucknow,Medium,4.6,Active,2023-06-30
MER100275,Redbus,Travel,Maharashtra,Thane,Medium,4.8,Inactive,2017-02-26
MER100276,OYO Rooms,Hotel,Tamil Nadu,Madurai,Medium,4.2,Active,2019-06-29
MER100277,Cashfree,Financial Services,Kerala,Kozhikode,Medium,4.0,Active,2017-08-01
MER100278,Meesho,Ecommerce,Gujarat,Bhavnagar,High,4.4,Active,2008-10-12
MER100279,BigBasket,Grocery,Madhya Pradesh,Bhopal,Low,4.2,Active,2014-02-17
MER100280,Flipkart,Ecommerce,Assam,Guwahati,Low,3.7,Active,2018-06-05
MER100281,Jio-bp,Fuel,Kerala,Kozhikode,Low,4.1,Active,2018-03-28
MER100282,PayU,Financial Services,Madhya Pradesh,Bhopal,Medium,4.2,Active,2011-09-26
MER100283,EatClub,Food Delivery,Maharashtra,KOlhapur,Low,3.9,Active,2015-04-18
MER100284,Jio-bp,Fuel,Punjab,Jalandhar,Medium,4.2,Active,2022-06-24
MER100285,Instamart,Grocery,Odisha,Puri,Medium,4.9,Active,2019-02-20
MER100286,Cashfree,Financial Services,Uttar Pradesh,Ghaziabad,High,4.5,Active,2008-10-11
MER100287,Unacademy,Education,Karnataka,Hubballi-Dharwad,Low,3.7,Active,2016-09-10
MER100288,Tata Cliq,Ecommerce,Bihar,Muzaffarpur,High,4.0,Active,2026-05-16
MER100289,BookMyShow,Entertainment,Gujarat,Vadodara,Low,4.1,Active,2018-10-16
MER100290,DMart,Grocery,Madhya Pradesh,Jabalpur,Low,4.4,Active,2016-09-08
MER100291,Tata Cliq,Ecommerce,Haryana,Palwal,High,4.9,Active,2019-12-05
MER100292,Air India,Airline,Kerala,Kozhikode,Low,4.9,Active,2006-11-19
MER100293,MakeMyTrip Hotels,Hotel,Karnataka,Mysuru,Low,4.2,Active,2018-10-10
MER100294,MakeMyTrip Hotels,Hotel,Odisha,Cuttack,Medium,4.6,Active,2020-04-26
MER100295,Max Healthcare,Hospital,Tamil Nadu,Madurai,Low,4.7,Active,2009-03-06
