Card_ID,Customer_ID,Card_Type,Card_Network,Credit_Limit,Card_Status,Contactless,Card_Mode,Issue_Date,Expiry_Date
CARD500057,CUST100043,Silver,Mastercard,299516,Active,No,Virtual,2023-04-09,2028-04-09
CARD500058,CUST100043,Platinum,Mastercard,791818,Active,No,Physical,2021-02-20,2026-02-20
CARD500059,CUST100044,Silver,American Express,194078,Active,No,Physical,2021-10-04,2026-10-04
CARD500060,CUST100044,Classic,Mastercard,116424,Active,Yes,Physical,2024-11-24,2029-11-24
CARD500061,CUST100045,Platinum,American Express,1106652,Expired,Yes,Physical,2019-04-07,2024-04-07
CARD500062,CUST100046,Gold,Mastercard,670662,Active,Yes,Physical,2022-03-12,2027-03-12
CARD500063,CUST100047,Gold,Mastercard,518348,Active,Yes,Physical,2019-03-21,2024-03-21
CARD500064,CUST100048,Platinum,RuPay,1035829,Active,Yes,Virtual,2026-03-15,2031-03-15
CARD500065,CUST100049,Silver,American Express,288930,Active,Yes,Physical,2025-08-13,2030-08-13
CARD500066,CUST100050,Gold,Mastercard,600410,Active,Yes,Physical,2019-10-09,2024-10-09
CARD500067,CUST100050,Silver,RuPay,236766,Active,Yes,Virtual,2022-10-08,2027-10-08
CARD500068,CUST100051,Classic,Mastercard,148185,Active,Yes,Physical,2020-04-15,2025-04-15
CARD500069,CUST100051,Silver,Visa,248726,Active,Yes,Physical,2023-10-04,2028-10-04
CARD500070,CUST100052,Classic,RuPay,91649,Active,Yes,Physical,2020-03-31,2025-03-31
CARD500071,CUST100053,Silver,Mastercard,238525,Active,No,Physical,2020-11-15,2025-11-15
CARD500072,CUST100053,Gold,RuPay,396899,Active,No,Physical,2023-05-10,2028-05-10
CARD500073,CUST100054,Gold,RuPay,627027,Active,Yes,Physical,2023-12-13,2028-12-13
CARD500074,CUST100055,Silver,Mastercard,250490,Active,Yes,Virtual,2022-06-13,2027-06-13
CARD500075,CUST100056,Gold,RuPay,617687,Active,Yes,Physical,2024-07-28,2029-07-28
CARD500076,CUST100057,Platinum,Mastercard,1390541,Active,Yes,Virtual,2026-07-17,2031-07-17
CARD500077,CUST100058,Gold,Visa,536695,Active,Yes,Physical,2023-11-02,2028-11-02
CARD500078,CUST100059,Silver,Visa,257678,Active,Yes,Virtual,2023-04-18,2028-04-18
CARD500079,CUST100060,Silver,RuPay,185716,Active,Yes,Physical,2023-08-19,2028-08-19
CARD500080,CUST100061,Classic,Mastercard,123354,Active,Yes,Physical,2022-01-18,2027-01-18
CARD500081,CUST100062,Gold,Mastercard,648296,Active,No,Physical,2020-06-24,2025-06-24
CARD500082,CUST100063,Classic,RuPay,136124,Active,No,Physical,2020-06-28,2025-06-28
CARD500083,CUST100064,Gold,RuPay,407787,Expired,Yes,Virtual,2021-10-30,2026-10-30
CARD500084,CUST100065,Platinum,Mastercard,907714,Active,No,Physical,2025-03-06,2030-03-06
CARD500085,CUST100066,Classic,RuPay,51386,Active,Yes,Physical,2018-08-18,2023-08-18
CARD500086,CUST100067,Gold,American Express,600909,Active,No,Virtual,2021-12-30,2026-12-30
CARD500087,CUST100068,Silver,RuPay,229423,Active,No,Physical,2024-06-20,2029-06-20
CARD500088,CUST100069,Classic,American Express,92373,Active,No,Physical,2021-01-14,2026-01-14
CARD500089,CUST100070,Silver,Mastercard,248845,Active,Yes,Physical,2021-01-27,2026-01-27
CARD500090,CUST100071,Platinum,American Express,965552,Active,Yes,Physical,2024-06-22,2029-06-22
CARD500091,CUST100072,Classic,Visa,92374,Active,Yes,Physical,2023-10-06,2028-10-06
CARD500092,CUST100073,Gold,Mastercard,357494,Active,Yes,Physical,2019-08-23,2024-08-23
CARD500093,CUST100074,Platinum,Mastercard,795656,Active,No,Virtual,2019-11-01,2024-11-01
CARD500094,CUST100075,Gold,Visa,468983,Active,Yes,Physical,2021-01-06,2026-01-06
CARD500095,CUST100076,Silver,Visa,200130,Active,Yes,Physical,2021-12-26,2026-12-26
CARD500096,CUST100077,Gold,Visa,431007,Expired,No,Physical,2022-04-25,2027-04-25
CARD500097,CUST100078,Gold,Visa,529871,Active,Yes,Physical,2023-02-13,2028-02-13
CARD500098,CUST100078,Gold,American Express,525427,Active,Yes,Virtual,2024-04-01,2029-04-01
CARD500099,CUST100079,Platinum,RuPay,1411589,Active,Yes,Physical,2019-11-01,2024-11-01
CARD500100,CUST100080,Gold,Visa,510215,Active,No,Physical,2022-04-09,2027-04-09
CARD500101,CUST100081,Silver,Mastercard,174530,Active,Yes,Physical,2019-07-31,2024-07-31
CARD500102,CUST100081,Classic,Visa,64942,Active,Yes,Physical,2023-05-16,2028-05-16
CARD500103,CUST100082,Gold,American Express,442460,Active,Yes,Physical,2019-04-10,2024-04-10
CARD500104,CUST100082,Classic,American Express,109895,Active,No,Physical,2024-01-18,2029-01-18
CARD500105,CUST100083,Classic,American Express,126458,Active,Yes,Virtual,2021-06-10,2026-06-10
CARD500106,CUST100084,Gold,Visa,646240,Active,Yes,Physical,2021-01-30,2026-01-30
CARD500107,CUST100085,Silver,Mastercard,209450,Active,Yes,Physical,2026-07-03,2031-07-03
CARD500108,CUST100086,Gold,Mastercard,393793,Lost,Yes,Physical,2026-03-21,2031-03-21
CARD500109,CUST100086,Gold,Visa,584748,Active,Yes,Physical,2018-08-03,2023-08-03
CARD500110,CUST100087,Silver,Visa,158481,Active,No,Physical,2023-07-31,2028-07-31
CARD500111,CUST100088,Gold,RuPay,638358,Active,Yes,Physical,2019-12-19,2024-12-19
CARD500112,CUST100088,Classic,Visa,142526,Active,No,Physical,2026-02-28,2031-02-28
CARD500113,CUST100089,Gold,RuPay,341752,Active,Yes,Physical,2021-01-05,2026-01-05
CARD500114,CUST100090,Silver,Visa,180856,Active,Yes,Physical,2019-10-18,2024-10-18
CARD500115,CUST100091,Silver,Mastercard,287953,Active,No,Physical,2022-03-24,2027-03-24
CARD500116,CUST100091,Platinum,American Express,1293461,Active,Yes,Physical,2020-09-25,2025-09-25
CARD500117,CUST100092,Platinum,RuPay,1322319,Active,Yes,Physical,2020-08-30,2025-08-30
CARD500118,CUST100093,Silver,American Express,246543,Active,Yes,Physical,2025-02-05,2030-02-05
CARD500119,CUST100094,Classic,Mastercard,131764,Lost,Yes,Physical,2023-12-03,2028-12-03
CARD500120,CUST100094,Gold,RuPay,313122,Active,Yes,Physical,2019-05-30,2024-05-30
CARD500121,CUST100095,Gold,Visa,393553,Active,Yes,Physical,2026-01-21,2031-01-21
CARD500122,CUST100096,Silver,RuPay,274180,Active,Yes,Physical,2025-01-31,2030-01-31
CARD500123,CUST100097,Silver,Visa,182712,Active,Yes,Physical,2018-11-07,2023-11-07
CARD500124,CUST100098,Silver,Visa,166573,Active,Yes,Physical,2021-07-22,2026-07-22
CARD500125,CUST100099,Silver,Mastercard,235511,Active,Yes,Physical,2021-09-30,2026-09-30
CARD500126,CUST100100,Silver,Mastercard,237045,Active,Yes,Physical,2019-02-27,2024-02-27
CARD500127,CUST100101,Gold,American Express,641010,Active,Yes,Physical,2021-08-31,2026-08-31
CARD500128,CUST100101,Classic,American Express,138913,Active,Yes,Physical,2026-06-18,2031-06-18
CARD500129,CUST100101,Silver,Visa,274173,Active,Yes,Virtual,2021-04-22,2026-04-22
CARD500130,CUST100102,Gold,RuPay,506015,Active,Yes,Physical,2019-10-21,2024-10-21
CARD500131,CUST100103,Classic,RuPay,143787,Active,Yes,Physical,2025-02-28,2030-02-28
CARD500132,CUST100103,Silver,RuPay,241746,Active,Yes,Physical,2023-12-16,2028-12-16
CARD500133,CUST100104,Classic,Mastercard,134391,Active,Yes,Physical,2018-10-14,2023-10-14
CARD500134,CUST100105,Silver,RuPay,222314,Active,Yes,Physical,2022-01-30,2027-01-30
CARD500135,CUST100105,Gold,Visa,667643,Active,Yes,Physical,2021-10-07,2026-10-07
CARD500136,CUST100105,Silver,American Express,160111,Active,Yes,Physical,2021-12-10,2026-12-10
CARD500137,CUST100106,Silver,Mastercard,273223,Active,Yes,Physical,2018-12-29,2023-12-29
CARD500138,CUST100106,Classic,Visa,70121,Active,Yes,Physical,2025-07-09,2030-07-09
CARD500139,CUST100107,Silver,Visa,274716,Active,Yes,Virtual,2019-08-06,2024-08-06
CARD500140,CUST100108,Platinum,American Express,975803,Active,Yes,Virtual,2025-03-10,2030-03-10
CARD500141,CUST100108,Classic,RuPay,58619,Active,Yes,Virtual,2024-07-08,2029-07-08
CARD500142,CUST100109,Classic,American Express,143972,Active,Yes,Physical,2025-05-07,2030-05-07
CARD500143,CUST100110,Classic,Mastercard,91798,Active,Yes,Physical,2026-05-04,2031-05-04
CARD500144,CUST100111,Gold,Mastercard,632176,Active,Yes,Physical,2022-12-24,2027-12-24
CARD500145,CUST100111,Classic,American Express,129741,Active,Yes,Physical,2020-04-23,2025-04-23
CARD500146,CUST100112,Gold,Mastercard,452427,Active,Yes,Physical,2021-02-15,2026-02-15
CARD500147,CUST100112,Classic,RuPay,114474,Active,No,Virtual,2021-06-06,2026-06-06
CARD500148,CUST100112,Silver,American Express,283729,Expired,Yes,Physical,2024-04-16,2029-04-16
CARD500149,CUST100113,Gold,Mastercard,696120,Active,Yes,Virtual,2021-04-17,2026-04-17
CARD500150,CUST100114,Platinum,American Express,711622,Active,Yes,Virtual,2024-12-15,2029-12-15
CARD500151,CUST100115,Classic,RuPay,71175,Active,Yes,Physical,2022-07-23,2027-07-23
CARD500152,CUST100115,Classic,Mastercard,50206,Active,Yes,Virtual,2021-06-14,2026-06-14
CARD500153,CUST100116,Gold,RuPay,476664,Active,Yes,Physical,2023-10-09,2028-10-09
CARD500154,CUST100116,Gold,American Express,338668,Active,Yes,Physical,2025-06-09,2030-06-09
CARD500155,CUST100117,Gold,American Express,613625,Active,No,Physical,2023-05-27,2028-05-27
CARD500156,CUST100118,Gold,Mastercard,684886,Active,Yes,Physical,2023-11-08,2028-11-08
CARD500157,CUST100119,Platinum,American Express,1364929,Active,Yes,Physical,2020-04-25,2025-04-25
CARD500158,CUST100120,Silver,Mastercard,268373,Active,No,Physical,2022-12-18,2027-12-18
CARD500159,CUST100121,Gold,Mastercard,346505,Active,Yes,Physical,2022-09-30,2027-09-30
CARD500160,CUST100122,Gold,American Express,689405,Active,Yes,Physical,2023-02-22,2028-02-22
CARD500161,CUST100123,Classic,RuPay,82210,Active,Yes,Physical,2021-06-02,2026-06-02
CARD500162,CUST100124,Gold,Visa,589263,Active,No,Physical,2020-05-19,2025-05-19
CARD500163,CUST100125,Gold,Visa,644069,Active,Yes,Physical,2020-05-09,2025-05-09
CARD500164,CUST100126,Platinum,Visa,863434,Active,Yes,Virtual,2025-10-18,2030-10-18
CARD500165,CUST100127,Silver,Mastercard,259029,Active,Yes,Physical,2025-04-19,2030-04-19
CARD500166,CUST100128,Silver,RuPay,183703,Active,Yes,Physical,2025-06-15,2030-06-15
CARD500167,CUST100128,Classic,Mastercard,52630,Active,No,Physical,2021-06-21,2026-06-21
CARD500168,CUST100129,Classic,RuPay,135079,Active,No,Virtual,2018-12-21,2023-12-21
CARD500169,CUST100130,Platinum,Visa,903226,Active,Yes,Physical,2026-02-11,2031-02-11
CARD500170,CUST100131,Gold,RuPay,393560,Active,No,Physical,2022-03-18,2027-03-18
CARD500171,CUST100132,Gold,RuPay,427013,Active,Yes,Physical,2025-12-06,2030-12-06
CARD500172,CUST100133,Platinum,RuPay,1092399,Active,Yes,Physical,2020-01-07,2025-01-07
CARD500173,CUST100134,Silver,RuPay,265513,Active,Yes,Physical,2018-10-08,2023-10-08
CARD500174,CUST100135,Classic,Visa,73504,Active,Yes,Virtual,2025-08-18,2030-08-18
CARD500175,CUST100136,Silver,American Express,214935,Expired,Yes,Virtual,2024-12-21,2029-12-21
CARD500176,CUST100137,Platinum,Mastercard,1366341,Active,Yes,Physical,2023-01-21,2028-01-21
CARD500177,CUST100137,Classic,American Express,112190,Active,Yes,Physical,2019-04-28,2024-04-28
CARD500178,CUST100138,Silver,Visa,239974,Active,Yes,Physical,2023-01-31,2028-01-31
CARD500179,CUST100139,Silver,RuPay,264279,Active,Yes,Physical,2018-12-07,2023-12-07
CARD500180,CUST100140,Platinum,Mastercard,868408,Active,Yes,Physical,2026-06-22,2031-06-22
CARD500181,CUST100141,Gold,American Express,690276,Active,Yes,Physical,2021-06-19,2026-06-19
CARD500182,CUST100142,Platinum,Mastercard,744477,Active,Yes,Physical,2020-01-08,2025-01-08
CARD500183,CUST100143,Platinum,Visa,1459265,Active,Yes,Physical,2021-07-22,2026-07-22
CARD500184,CUST100144,Gold,RuPay,460904,Active,Yes,Virtual,2018-12-14,2023-12-14
CARD500185,CUST100145,Classic,Mastercard,122114,Active,Yes,Physical,2021-05-03,2026-05-03
CARD500186,CUST100145,Silver,American Express,272618,Active,Yes,Physical,2023-02-13,2028-02-13
CARD500187,CUST100146,Gold,Mastercard,405780,Active,Yes,Physical,2025-01-16,2030-01-16
CARD500188,CUST100147,Gold,Mastercard,656461,Active,Yes,Virtual,2026-03-22,2031-03-22
CARD500189,CUST100147,Silver,Mastercard,177805,Blocked,Yes,Physical,2023-09-27,2028-09-27
CARD500190,CUST100148,Silver,Visa,290067,Active,Yes,Physical,2023-03-18,2028-03-18
CARD500191,CUST100149,Classic,Mastercard,125205,Active,Yes,Physical,2019-02-14,2024-02-14
CARD500192,CUST100149,Classic,American Express,74568,Active,No,Physical,2021-01-02,2026-01-02
CARD500193,CUST100149,Classic,Visa,82974,Active,Yes,Physical,2023-11-29,2028-11-29
CARD500194,CUST100150,Classic,American Express,140849,Active,Yes,Physical,2021-07-14,2026-07-14
CARD500195,CUST100151,Classic,Visa,64287,Active,Yes,Physical,2025-05-11,2030-05-11
CARD500196,CUST100152,Gold,Mastercard,630287,Active,Yes,Virtual,2020-01-30,2025-01-30
CARD500197,CUST100153,Platinum,Visa,1035982,Active,No,Physical,2021-08-10,2026-08-10
CARD500198,CUST100154,Gold,Mastercard,547729,Active,Yes,Physical,2018-09-11,2023-09-11
CARD500199,CUST100155,Platinum,American Express,1210040,Active,Yes,Physical,2020-07-20,2025-07-20
CARD500200,CUST100155,Gold,Mastercard,358548,Active,Yes,Physical,2021-11-19,2026-11-19
CARD500201,CUST100156,Gold,Visa,502083,Active,Yes,Physical,2022-11-15,2027-11-15
CARD500202,CUST100157,Platinum,RuPay,1348754,Active,Yes,Physical,2024-04-07,2029-04-07
CARD500203,CUST100157,Gold,RuPay,623636,Active,No,Physical,2025-06-13,2030-06-13
CARD500204,CUST100158,Silver,Visa,203147,Active,No,Virtual,2025-05-31,2030-05-31
CARD500205,CUST100158,Silver,American Express,280851,Active,Yes,Physical,2019-02-05,2024-02-05
CARD500206,CUST100159,Classic,RuPay,91145,Active,Yes,Physical,2019-04-09,2024-04-09
CARD500207,CUST100160,Platinum,RuPay,1238332,Active,Yes,Physical,2025-07-15,2030-07-15
CARD500208,CUST100160,Classic,Visa,113763,Lost,Yes,Physical,2026-02-04,2031-02-04
CARD500209,CUST100161,Classic,Visa,131730,Active,Yes,Physical,2022-03-12,2027-03-12
CARD500210,CUST100161,Gold,Mastercard,699897,Active,Yes,Virtual,2022-08-21,2027-08-21
CARD500211,CUST100162,Platinum,Visa,784786,Active,Yes,Physical,2022-05-01,2027-05-01
CARD500212,CUST100163,Gold,Visa,491210,Active,Yes,Virtual,2021-06-29,2026-06-29
CARD500213,CUST100164,Gold,RuPay,306684,Active,Yes,Virtual,2021-12-03,2026-12-03
CARD500214,CUST100165,Gold,RuPay,382318,Active,Yes,Physical,2026-01-18,2031-01-18
CARD500215,CUST100166,Platinum,Visa,1037476,Active,Yes,Physical,2021-01-14,2026-01-14
CARD500216,CUST100167,Platinum,Visa,715129,Active,Yes,Physical,2018-09-22,2023-09-22
CARD500217,CUST100167,Silver,Visa,249089,Active,No,Virtual,2022-11-25,2027-11-25
CARD500218,CUST100168,Gold,RuPay,474367,Active,Yes,Physical,2025-07-17,2030-07-17
CARD500219,CUST100168,Gold,RuPay,659489,Active,Yes,Physical,2022-10-08,2027-10-08
CARD500220,CUST100168,Platinum,Mastercard,1465300,Active,Yes,Virtual,2025-02-11,2030-02-11
CARD500221,CUST100169,Silver,American Express,252039,Active,Yes,Physical,2026-05-09,2031-05-09
CARD500222,CUST100170,Classic,American Express,147590,Active,Yes,Physical,2025-06-06,2030-06-06
CARD500223,CUST100171,Gold,Visa,507281,Active,Yes,Virtual,2020-03-03,2025-03-03
CARD500224,CUST100172,Classic,Visa,133728,Active,No,Virtual,2025-03-15,2030-03-15
CARD500225,CUST100172,Silver,Visa,240595,Active,Yes,Physical,2022-05-31,2027-05-31
CARD500226,CUST100173,Gold,Mastercard,355427,Active,No,Virtual,2022-12-21,2027-12-21
CARD500227,CUST100173,Silver,Mastercard,256225,Active,Yes,Physical,2023-04-14,2028-04-14
CARD500228,CUST100174,Platinum,Mastercard,1364876,Active,Yes,Physical,2020-08-14,2025-08-14
CARD500229,CUST100175,Gold,American Express,508463,Active,Yes,Physical,2020-01-09,2025-01-09
CARD500230,CUST100175,Platinum,RuPay,1244128,Active,No,Physical,2023-11-25,2028-11-25
CARD500231,CUST100176,Platinum,RuPay,877731,Active,Yes,Physical,2024-05-29,2029-05-29
CARD500232,CUST100176,Platinum,American Express,1285281,Active,Yes,Physical,2021-07-06,2026-07-06
CARD500233,CUST100177,Gold,Visa,350101,Active,Yes,Virtual,2026-01-05,2031-01-05
CARD500234,CUST100178,Classic,Mastercard,108454,Active,Yes,Physical,2018-09-02,2023-09-02
CARD500235,CUST100179,Platinum,Mastercard,1111107,Active,Yes,Physical,2019-05-21,2024-05-21
CARD500236,CUST100180,Gold,American Express,373148,Active,Yes,Virtual,2022-05-20,2027-05-20
CARD500237,CUST100181,Platinum,RuPay,1439423,Blocked,Yes,Virtual,2023-06-03,2028-06-03
CARD500238,CUST100182,Platinum,Visa,1108936,Active,Yes,Physical,2019-03-17,2024-03-17
CARD500239,CUST100183,Platinum,RuPay,1333897,Active,Yes,Physical,2023-08-15,2028-08-15
CARD500240,CUST100184,Silver,Visa,213666,Active,Yes,Physical,2018-08-12,2023-08-12
CARD500241,CUST100185,Gold,American Express,598646,Active,Yes,Physical,2025-01-08,2030-01-08
CARD500242,CUST100186,Classic,Visa,65909,Active,Yes,Virtual,2022-02-21,2027-02-21
CARD500243,CUST100187,Classic,Visa,131325,Active,Yes,Physical,2023-04-16,2028-04-16
CARD500244,CUST100188,Classic,American Express,111645,Active,Yes,Physical,2026-03-09,2031-03-09
CARD500245,CUST100189,Platinum,RuPay,1033139,Active,Yes,Physical,2021-02-10,2026-02-10
CARD500246,CUST100190,Silver,American Express,288118,Active,Yes,Virtual,2019-08-05,2024-08-05
CARD500247,CUST100191,Classic,RuPay,119540,Active,Yes,Virtual,2021-05-14,2026-05-14
CARD500248,CUST100192,Silver,Visa,216830,Active,Yes,Virtual,2025-08-23,2030-08-23
CARD500249,CUST100193,Silver,RuPay,258650,Active,Yes,Virtual,2023-03-19,2028-03-19
CARD500250,CUST100194,Gold,Mastercard,371195,Active,No,Physical,2022-12-09,2027-12-09
CARD500251,CUST100195,Silver,RuPay,180746,Active,No,Physical,2021-02-06,2026-02-06
CARD500252,CUST100196,Silver,RuPay,263004,Active,Yes,Physical,2024-02-06,2029-02-06
CARD500253,CUST100197,Classic,Visa,125595,Active,Yes,Physical,2025-05-16,2030-05-16
CARD500254,CUST100198,Platinum,Visa,998753,Active,Yes,Physical,2024-08-28,2029-08-28
CARD500255,CUST100199,Classic,American Express,145473,Active,Yes,Physical,2026-06-23,2031-06-23
CARD500256,CUST100200,Classic,American Express,65905,Active,No,Physical,2018-10-23,2023-10-23
CARD500257,CUST100200,Gold,RuPay,406720,Active,Yes,Physical,2024-08-12,2029-08-12
CARD500258,CUST100201,Gold,American Express,429647,Active,Yes,Physical,2018-09-18,2023-09-18
CARD500259,CUST100202,Classic,Visa,71745,Active,Yes,Virtual,2018-08-03,2023-08-03
CARD500260,CUST100203,Platinum,American Express,736388,Active,Yes,Virtual,2019-08-10,2024-08-10
CARD500261,CUST100204,Gold,RuPay,669226,Active,Yes,Physical,2018-07-30,2023-07-30
CARD500262,CUST100205,Silver,Mastercard,275551,Active,Yes,Virtual,2020-07-23,2025-07-23
CARD500263,CUST100206,Classic,American Express,92781,Active,Yes,Physical,2023-05-30,2028-05-30
CARD500264,CUST100206,Silver,American Express,203325,Active,Yes,Physical,2024-06-04,2029-06-04
CARD500265,CUST100207,Platinum,RuPay,788807,Active,No,Physical,2022-05-26,2027-05-26
CARD500266,CUST100207,Gold,RuPay,627849,Expired,No,Physical,2021-07-31,2026-07-31
CARD500267,CUST100208,Gold,Mastercard,555372,Active,Yes,Physical,2022-10-16,2027-10-16
CARD500268,CUST100209,Platinum,American Express,928499,Active,Yes,Physical,2024-09-05,2029-09-05
CARD500269,CUST100210,Silver,Visa,191575,Active,Yes,Physical,2023-05-08,2028-05-08
CARD500270,CUST100211,Gold,Mastercard,522930,Active,Yes,Physical,2025-03-22,2030-03-22
CARD500271,CUST100212,Silver,Visa,190804,Active,Yes,Physical,2026-02-10,2031-02-10
CARD500272,CUST100213,Gold,Mastercard,452240,Active,Yes,Virtual,2025-10-16,2030-10-16
CARD500273,CUST100214,Silver,RuPay,176193,Active,No,Physical,2021-06-28,2026-06-28
CARD500274,CUST100214,Gold,Visa,452387,Active,No,Virtual,2024-06-04,2029-06-04
CARD500275,CUST100215,Classic,RuPay,91091,Active,Yes,Physical,2019-11-27,2024-11-27
CARD500276,CUST100216,Silver,American Express,176896,Active,Yes,Physical,2021-09-23,2026-09-23
CARD500277,CUST100217,Silver,Visa,274320,Active,Yes,Virtual,2019-03-01,2024-03-01
CARD500278,CUST100218,Classic,Visa,62968,Active,Yes,Physical,2022-05-06,2027-05-06
CARD500279,CUST100218,Classic,Mastercard,145722,Active,Yes,Physical,2024-10-30,2029-10-30
CARD500280,CUST100219,Gold,Mastercard,576767,Active,Yes,Physical,2022-04-10,2027-04-10
CARD500281,CUST100220,Platinum,American Express,1031263,Active,Yes,Physical,2025-10-30,2030-10-30
CARD500282,CUST100220,Platinum,American Express,1041732,Blocked,Yes,Physical,2022-11-16,2027-11-16
CARD500283,CUST100221,Silver,Mastercard,272301,Active,Yes,Physical,2019-07-15,2024-07-15
